"","x"
"890","FBgn0039659"
"891","FBgn0264428"
"892","FBgn0085315"
"893","FBgn0262839"
"894","FBgn0037516"
"895","FBgn0267105"
"896","FBgn0039029"
"897","FBgn0038188"
"898","FBgn0264824"
"899","FBgn0038189"
"900","FBgn0264430"
"901","FBgn0039367"
"902","FBgn0262995"
"903","FBgn0267701"
"904","FBgn0261846"
"905","FBgn0053333"
"906","FBgn0266302"
"907","FBgn0037431"
"908","FBgn0267134"
"909","FBgn0262903"
"910","FBgn0262262"
"911","FBgn0267136"
"912","FBgn0265063"
"913","FBgn0265166"
"914","FBgn0267756"
"915","FBgn0267937"
"916","FBgn0038507"
"917","FBgn0038523"
"918","FBgn0267121"
"919","FBgn0265317"
"920","FBgn0038124"
"921","FBgn0038125"
"922","FBgn0284420"
"923","FBgn0265383"
"924","FBgn0039370"
"925","FBgn0037284"
"926","FBgn0037413"
"927","FBgn0267158"
"928","FBgn0265064"
"929","FBgn0261814"
"930","FBgn0262010"
"931","FBgn0266415"
"932","FBgn0038773"
"933","FBgn0263217"
"934","FBgn0266230"
"935","FBgn0038089"
"936","FBgn0266231"
"937","FBgn0039376"
"938","FBgn0266232"
"939","FBgn0263401"
"940","FBgn0264828"
"941","FBgn0263404"
"942","FBgn0267149"
"943","FBgn0085318"
"944","FBgn0267945"
"945","FBgn0267438"
"946","FBgn0267946"
"947","FBgn0263405"
"948","FBgn0265614"
"949","FBgn0266855"
"950","FBgn0003009"
"951","FBgn0266856"
"952","FBgn0034667"
"953","FBgn0263515"
"954","FBgn0265444"
"955","FBgn0262988"
"956","FBgn0034838"
"957","FBgn0263084"
"958","FBgn0266861"
"959","FBgn0263335"
"960","FBgn0034463"
"961","FBgn0265306"
"962","FBgn0265698"
"963","FBgn0265051"
"964","FBgn0265653"
"965","FBgn0265765"
"966","FBgn0035069"
"967","FBgn0034120"
"968","FBgn0264956"
"969","FBgn0263613"
"970","FBgn0262098"
"971","FBgn0034841"
"972","FBgn0035003"
"973","FBgn0263774"
"974","FBgn0265143"
"975","FBgn0035004"
"976","FBgn0265593"
"977","FBgn0265145"
"978","FBgn0265763"
"979","FBgn0264378"
"980","FBgn0267492"
"981","FBgn0267422"
"982","FBgn0267417"
"983","FBgn0267592"
"984","FBgn0261399"
"985","FBgn0259861"
"986","FBgn0046698"
"987","FBgn0267418"
"988","FBgn0058064"
"989","FBgn0085494"
"990","FBgn0085692"
